day_index,priority,category,video,max_frames,status,notes
1,1,badWeather,blizzard,,pending,
2,2,badWeather,skating,,pending,
3,3,badWeather,snowFall,,pending,
4,4,badWeather,wetSnow,,pending,
5,5,baseline,highway,,pending,
6,6,baseline,office,,pending,
7,7,baseline,pedestrians,,pending,
8,8,baseline,PETS2006,,pending,
9,9,cameraJitter,badminton,,pending,
10,10,cameraJitter,boulevard,,pending,
11,11,cameraJitter,sidewalk,,pending,
12,12,cameraJitter,traffic,,pending,
13,13,dynamicBackground,boats,,pending,
14,14,dynamicBackground,canoe,,pending,
15,15,dynamicBackground,fall,,pending,
16,16,dynamicBackground,fountain01,,pending,
17,17,dynamicBackground,fountain02,,pending,
18,18,dynamicBackground,overpass,,pending,
19,19,intermittentObjectMotion,abandonedBox,,pending,
20,20,intermittentObjectMotion,parking,,pending,
21,21,intermittentObjectMotion,sofa,,pending,
22,22,intermittentObjectMotion,streetLight,,pending,
23,23,intermittentObjectMotion,tramstop,,pending,
24,24,intermittentObjectMotion,winterDriveway,,pending,
25,25,lowFramerate,port_0_17fps,,pending,
26,26,lowFramerate,tramCrossroad_1fps,,pending,
27,27,lowFramerate,tunnelExit_0_35fps,,pending,
28,28,lowFramerate,turnpike_0_5fps,,pending,
29,29,nightVideos,bridgeEntry,,pending,
30,30,nightVideos,busyBoulvard,,pending,
31,31,nightVideos,fluidHighway,,pending,
32,32,nightVideos,streetCornerAtNight,,pending,
33,33,nightVideos,tramStation,,pending,
34,34,nightVideos,winterStreet,,pending,
35,35,PTZ,continuousPan,,pending,
36,36,PTZ,intermittentPan,,pending,
37,37,PTZ,twoPositionPTZCam,,pending,
38,38,PTZ,zoomInZoomOut,,pending,
39,39,shadow,backdoor,,pending,
40,40,shadow,bungalows,,pending,
41,41,shadow,busStation,,pending,
42,42,shadow,copyMachine,,pending,
43,43,shadow,cubicle,,pending,
44,44,shadow,peopleInShade,,pending,
45,45,thermal,corridor,,pending,
46,46,thermal,diningRoom,,pending,
47,47,thermal,lakeSide,,pending,
48,48,thermal,library,,pending,
49,49,thermal,park,,pending,
50,50,turbulence,turbulence0,,pending,
51,51,turbulence,turbulence1,,pending,
52,52,turbulence,turbulence2,,pending,
53,53,turbulence,turbulence3,,pending,
