category,Pipeline,Event_TP,Event_TN,Event_FP,Event_FN,Event_Accuracy,Event_Precision,Event_Recall,Event_F1,MCC,TP_pixel,TN_pixel,FP_pixel,FN_pixel,Recall,Specificity,FPR,FNR,Precision,CDnet_FMeasure,PWC,avg_CPU,avg_process_cpu_percent,max_process_cpu_percent,median_CPU,avg_RAM,avg_ram_mb,max_ram_mb,avg_FPS,median_FPS,avg_latency_ms,median_latency_ms,P95_latency_ms,P99_latency_ms,Activation,processed_frames,temporal_roi_start,temporal_roi_end,evaluated_frames,skipped_frames_before_roi,warmup_frames,reused_prediction_count,reused_prediction_rate,Energy/frame,simulated_runtime_energy/frame,runtime_seconds,CPU_reduction_rate,EE_Gate_Score,mAP_50
PTZ,ASMAG_TR_CONTROLLER,379.5,110.0,873.75,20.25,0.3490925010131839,0.314182532031302,0.9723697023767872,0.4514392746805953,0.08140198170077285,1142918.5,120089827.5,2444171.25,189009.75,0.8855695428528059,0.9870416099198239,0.012958390080176074,0.11443045714719409,0.5730631535882234,0.6492860131439613,1.3972223306535458,162.51470466320896,162.51470466320896,284.46875,169.75,2.4591693201141256,805.8206202514637,813.5380859375,12.832391912306498,5.123190494717003,194.1141550308932,195.05691528320312,273.8267183303833,342.02619194984436,0.9334315318613859,1383.5,775.0,2157.5,1383.5,774.0,50.0,0.0,0.0,6.3671576593069314,7.596264584275847,259.5629979968071,-0.0004349457437355757,0.34821055553662006,0.17240453693948066
PTZ,ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED,394.5,94.5,889.25,5.25,0.3458140736638125,0.3152734493219182,0.9909067533901346,0.4551199811621631,0.0829473740595786,1117692.25,119995430.0,2538568.75,214236.0,0.8606392010682611,0.9864326355990264,0.01356736440097355,0.13936079893173892,0.5433328469491087,0.6205097907731767,1.484147840283508,160.73159238430517,160.73159238430517,293.70625,169.0,2.501452672433293,819.6760953664691,827.4482421875,6.864221715195288,3.8978106967035,252.6573498168451,262.31545209884644,345.5125391483307,424.4974374771119,0.8913966168854612,1383.5,775.0,2157.5,1383.5,774.0,50.0,82.0,0.0563838784345356,6.181208763292607,7.468409588027366,343.04181933403015,0.010690703720735474,0.35018890978264317,0.14346571386265453
PTZ,ASMAG_TR_FAST,392.75,32.75,951.0,7.0,0.3133557739023651,0.303120987319541,0.9877294914770424,0.4412137832710828,0.02057696771263465,1040854.0,117757369.5,4776629.25,291074.25,0.7982011725506476,0.9749045392193428,0.025095460780657098,0.20179882744935237,0.4775279256417148,0.5401448530070599,2.671032990860843,157.16966712557812,157.16966712557812,327.6875,168.3375,2.504206989504087,820.5785463206993,822.6171875,18.886922544293864,4.711773271432403,175.21872019186986,213.8945460319519,273.85732531547546,323.0969190597534,0.7300950312126052,1383.5,775.0,2157.5,1383.5,774.0,50.0,374.0,0.24815942834979796,5.475291098898005,6.601171634109463,235.51936668157578,0.03242148454679057,0.31867434288683155,0.13345757304802
PTZ,P1_YOLO_Only,372.0,198.75,785.0,27.75,0.4114994339250198,0.3364771608475217,0.8665331445157134,0.4641764470110953,0.11526149558512447,1135691.0,121227703.0,1306295.75,196237.25,0.8735890061300899,0.9928410869024469,0.007158913097553175,0.12641099386991,0.6412724723583278,0.710642501547002,0.8325469414532201,162.48288417711728,162.48288417711728,198.3125,165.76875,2.3197916307161472,760.1493228262907,761.5859375,4.842881504686025,5.055574137533611,215.5250109073514,198.29261302947998,307.43566155433655,412.85191178321844,1.0,1383.5,775.0,2157.5,1383.5,774.0,0.0,0.0,0.0,6.200000000000001,7.8572748892092195,293.19665533304214,0.0,0.4114994339250198,0.17637591327115631
PTZ,P2_FrameDiff,293.75,327.25,656.5,106.0,0.37030460751510225,0.29180812218783253,0.7402841309123501,0.3829500986773758,0.0059571360558709485,1126088.5,121017605.5,1516393.25,205839.75,0.7003101947179793,0.991652429017845,0.008347570982154884,0.2996898052820207,0.6481521381277042,0.5707087838197881,0.9885664642613314,140.3959950127317,140.3959950127317,319.1375,166.3,2.3401870246149277,766.8324877737303,772.1376953125,95.64933737795856,5.3303260183391865,137.53468367012175,181.2489628791809,240.0977909564972,294.5278108119966,0.6967669339152834,1383.5,775.0,2157.5,1383.5,774.0,0.0,0.0,0.0,4.783834669576416,6.144082356970629,187.09239727258682,0.1371743160052738,0.42146832569564074,0.13808077305568345
PTZ,P3_MOG2,379.5,110.0,873.75,20.25,0.3490925010131839,0.314182532031302,0.9723697023767872,0.4514392746805953,0.08140198170077285,1142918.5,120089827.5,2444171.25,189009.75,0.8855695428528059,0.9870416099198239,0.012958390080176074,0.11443045714719409,0.5730631535882234,0.6492860131439613,1.3972223306535458,160.6277656638586,160.6277656638586,294.46875,168.5375,2.4279877962484817,795.6030417253103,801.2626953125,13.879624698593606,4.977231460812597,200.3715075958697,200.4568576812744,285.37073731422424,337.4774634838104,0.9334315318613859,1383.5,775.0,2157.5,1383.5,774.0,50.0,0.0,0.0,6.3671576593069314,7.524165467630111,267.29758310317993,0.011249050177201975,0.35312948530962385,0.17240453693948066
badWeather,ASMAG_TR_CONTROLLER,1107.0,509.75,2857.5,1.75,0.33931683423632997,0.2921589777626137,0.9979885057471265,0.44234764156639417,0.11431129710107178,8538532.75,686105980.75,3705976.0,1661940.5,0.8206994661500346,0.9893218023299561,0.0106781976700437,0.17930053384996542,0.7713318073037585,0.7825396333595264,1.3592110361494416,160.30782989516246,160.30782989516246,363.80625,168.08125,2.284942829410957,748.7300856996992,761.1025390625,18.634774262847188,17.14426748291401,159.8758197290531,138.205885887146,298.99948835372925,366.3470149040222,0.5668385283333683,4476.0,750.0,5225.0,4476.0,749.0,50.0,1784.25,0.36600827853554563,4.670793469520396,5.672928052557786,653.1183071136475,0.0225366649303687,0.34882451986979457,0.26337868697678063
badWeather,ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED,1058.0,1202.75,2164.5,50.75,0.4648419058194038,0.33383955059290643,0.9630421596338793,0.48422623048201446,0.23907054531303562,8320897.5,686041714.5,3770242.25,1879575.75,0.8024753076951213,0.9892218540839173,0.01077814591608265,0.19752469230487865,0.7665367075836133,0.7711494211988714,1.3913676194868416,135.16813890684625,135.16813890684625,247.0625,156.175,2.514137502234668,823.8326468232628,853.130859375,8.60907065191412,6.206002538499784,202.46673995311215,205.8536410331726,339.4652009010315,424.9712824821472,0.6461061702827025,4476.0,750.0,5225.0,4476.0,749.0,50.0,710.75,0.1402235724216203,4.988189057868682,5.861021332211652,840.862327516079,0.17642138546728348,0.5672656734375868,0.23059850984729297
badWeather,ASMAG_TR_FAST,1051.0,840.0,2527.25,57.75,0.394380117570131,0.30314173181838683,0.9526483558021587,0.45014776019147207,0.1492813419407497,8255317.5,685979104.5,3832852.25,1945155.75,0.7972511285227383,0.989079963992019,0.01092003600798095,0.2027488714772617,0.7614174366889916,0.7662593655945178,1.4235646865325695,126.63214354415092,126.63214354415092,308.725,147.36875,2.216476359863527,726.2949856725925,738.2783203125,24.38064337821122,23.30343392892237,132.3298257514411,87.66579627990723,289.2223000526428,349.21175241470337,0.4697337331692182,4476.0,750.0,5225.0,4476.0,749.0,50.0,1807.5,0.377974486681857,4.1864661145142765,4.816293314678322,532.9077019095421,0.2278668506337037,0.4951954487432935,0.23906070120058676
badWeather,P1_YOLO_Only,997.25,1890.0,1477.25,111.5,0.5609353225979101,0.42267332926013224,0.9081473608344544,0.5531205891202584,0.29705305212776867,8480826.75,686415352.5,3396604.25,1719646.5,0.8150446558809965,0.9897232850366955,0.010276714963304526,0.1849553441190034,0.8023616638477788,0.7950974383748474,1.3189494509490511,163.99587058635876,163.99587058635876,199.96875,166.28125,1.9119004080067223,626.4915548734956,634.3994140625,4.005660287614713,4.037219848389653,283.09132532960456,273.0347514152527,359.94553565979004,448.20767641067505,1.0,4476.0,750.0,5225.0,4476.0,749.0,0.0,0.0,0.0,6.200000000000001,7.8897480811966,1365.5403384566307,0.0,0.5609353225979101,0.2673457475031815
